year,weight,name,lname
1871,157.0495,Frank,Abercrombie
1872,166.9032,Ham,Allen
1873,157.5385,Ed,Atkinson
1874,159.5000,Billy,Barnie
1875,164.0408,John,Abadie
1876,165.9375,Fred,Andrus
1877,167.6923,Josh,Bunce
1878,172.0667,Charlie,Bennett
1879,169.0851,George,Adams
1880,170.3636,Bill,Ahearn
1881,173.3333,Pat,Deasley
1882,169.3000,Tug,Arundel
1883,171.7143,Myron,Allen
1884,167.7733,John,Ake
1885,173.6176,Billy,Alvord
1886,168.1930,Gene,Bagley
1887,165.9538,Mark,Baldwin
1888,170.9130,Jim,Banning
1889,168.7818,Dave,Anderson
1890,169.2973,Dan,Abbott
1891,168.9194,George,Boone
1892,167.2683,Bert,Abbey
1893,173.3878,Charlie,Abbey
1894,166.2692,John,Anderson
1895,170.0882,Harry,Atkinson
1896,169.7241,Marty,Bergen
1897,173.5957,Ed,Abbaticchio
1898,172.3538,Nick,Altrock
1899,170.3824,Charlie,Atherton
1900,174.5263,Curt,Bernard
1901,172.4818,Bock,Baker
1902,173.7788,Joe,Adams
1903,171.6667,Fred,Abbott
1904,171.0349,Fred,Applegate
1905,176.5500,Harry,Ables
1906,174.9368,Bill,Abstein
1907,173.0233,Goat,Anderson
1908,174.2035,Frank,Arellanes
1909,176.2897,Fred,Anderson
1910,172.1477,Ody,Abbott
1911,172.3925,Raleigh,Aitchison
1912,171.3756,Willie,Adams
1913,173.3182,Merito,Acosta
1914,171.1542,Dan,Adams
1915,172.6954,Walter,Ancker
1916,168.7449,Jesse,Altenburg
1917,169.5870,Vic,Aldridge
1918,173.4459,Doc,Bass
1919,172.2268,Bob,Allen
1920,172.2000,Jose,Acosta
1921,169.4017,Sam,Barnes
1922,173.9051,Sparky,Adams
1923,173.8784,George,Abrams
1924,173.1148,Chick,Autry
1925,171.9397,Bob,Adams
1926,173.1875,Ethan,Allen
1927,171.5370,Pete,Appleton
1928,176.9286,Grady,Adkins
1929,174.6881,Bill,Akers
1930,177.3163,Luke,Appling
1931,176.5294,Jimmy,Adair
1932,176.4409,Johnny,Allen
1933,180.2286,Mel,Almada
1934,180.0796,Orville,Armbrust
1935,178.1652,Tom,Baker
1936,180.4455,Walter,Alston
1937,179.8909,Hugh,Alexander
1938,178.1560,George,Archie
1939,180.5591,Buster,Adams
1940,183.0096,Bill,Baker
1941,183.5333,Ace,Adams
1942,182.6000,Ted,Abernathy
1943,182.3356,Dale,Alderson
1944,180.6078,Joe,Antolick
1945,179.8306,Joe,Astroth
1946,183.2991,Woody,Abernathy
1947,182.4898,Cliff,Aberson
1948,183.4035,Herb,Adams
1949,183.5217,Cal,Abrams
1950,183.5238,Al,Aber
1951,181.5000,George,Bamberger
1952,184.5175,Bill,Abernathie
1953,184.4800,Bill,Antonello
1954,183.1322,Hank,Aaron
1955,184.4161,Ted,Abernathy
1956,183.6292,Tom,Acker
1957,185.9167,Bob,Anderson
1958,185.7477,Jerry,Adair
1959,188.1978,George,Altman
1960,186.8558,Matty,Alou
1961,185.1250,Bob,Allen
1962,184.6735,Tommie,Aaron
1963,185.5455,Fritz,Ackley
1964,183.8769,Jack,Aker
1965,184.3590,Brant,Alyea
1966,187.7767,Hank,Allen
1967,185.9304,Mike,Adamson
1968,188.7685,Luis,Alvarado
1969,186.9563,Doug,Adams
1970,187.6429,Ed,Acosta
1971,184.1416,Doyle,Alexander
1972,184.4590,Cy,Acosta
1973,185.4046,Glenn,Abbott
1974,184.8472,Bill,Almon
1975,185.9385,Glenn,Adams
1976,188.0660,Santo,Alcala
1977,186.7233,Don,Aase
1978,186.2297,Butch,Alberts
1979,187.3659,Danny,Ainge
1980,186.9379,Luis,Aguayo
1981,186.2740,Juan,Agosto
1982,189.0141,Ricky,Adams
1983,189.5000,Jim,Acker
1984,187.0758,Ed,Amelung
1985,187.3360,Johnny,Abrego
1986,186.8537,Darrel,Akerfelds
1987,185.4645,Shawn,Abner
1988,190.8794,Gibson,Alba
1989,188.2467,Jim,Abbott
1990,188.0828,Paul,Abbott
1991,191.9531,Kyle,Abbott
1992,191.6049,Manny,Alexander
1993,192.5567,Kurt,Abbott
1994,193.0877,Mark,Acre
1995,192.3077,Juan,Acevedo
1996,196.1907,Bobby,Abreu
1997,195.0889,Jeff,Abbott
1998,198.2115,Benny,Agbayani
1999,198.7667,Chad,Allen
2000,198.7598,Israel,Alcantara
2001,202.2915,Andy,Abad
2002,206.1618,Jeremy,Affeldt
2003,201.5110,Jon,Adkins
2004,204.9663,David,Aardsma
2005,210.1650,Jeremy,Accardo
2006,209.5611,Reggie,Abercrombie
2007,209.9194,Tony,Abreu
2008,207.7143,Alfredo,Aceves
2009,211.3284,Brandon,Allen
2010,211.9803,Fernando,Abad
2011,210.0921,Juan,Abreu
2012,210.0583,Matt,Adams
2013,211.0391,David,Adams
2014,211.0385,Jose,Abreu
2015,210.1339,Hanser,Alberto
2016,207.3837,Tim,Adleman
2017,206.9924,Austin,Adams
2018,206.2753,Ronald,Acuna
2019,201.5517,Bryan,Abreu
